"X..";"id";"nome";"numero";"ano";"datApresentacao";"txtEmenta";"txtExplicacaoEmenta";"qtdAutores";"indGenero";"qtdOrgaosComEstado";"tipoProposicao.id";"tipoProposicao.sigla";"tipoProposicao.nome";"orgaoNumerador.id";"orgaoNumerador.sigla";"orgaoNumerador.nome";"codRegime";"txtRegime";"apreciacao.id";"txtApreciacao";"txtNomeAutor";"idecadastro";"codPartido";"txtSiglaPartido";"txtSiglaUF";"datDespacho";"txtDespacho";"situacao.id";"situacao.descricao";"codOrgaoEstado";"siglaOrgaoEstado";"codProposicaoPrincipal";"proposicaoPrincipal"
NA;"947899";"PEC 23/1961";"23";"1961";"20/11/1961 14:44:00";"suprime no § 16, do art. 141 a expressão: \"ou por interesse social\" e dá nova redação ao art. 147.";"DESAPROPRIAÇÃO POR INTERESSE SOCIAL";"1";"a";"1";"136";"PEC";"Proposta de Emenda à Constituição";"180";"PLEN      ";"PLENÁRIO";"18";"Especial";"5";"Proposição Sujeita à Apreciação do Plenário";"HELIO CABAL                                       ";"
      ";"
      ";"
      ";"
      ";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
NA;"949161";"PEC 22/1961";"22";"1961";"19/11/1961 11:47:00";"dá nova redação ao § 16 do art. 141, dispondo sobre o direito de propriedade.";"
    ";"1";"a";"1";"136";"PEC";"Proposta de Emenda à Constituição";"180";"PLEN      ";"PLENÁRIO";"18";"Especial";"5";"Proposição Sujeita à Apreciação do Plenário";"AURELIO VIANNA                                    ";"
      ";"
      ";"
      ";"
      ";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
NA;"946302";"PEC 19/1961";"19";"1961";"4/8/1961 10:57:00";"dá nova redação ao parágrafo 16 do artigo 141 da constituição federal";"INDENIZAÇÃO NO CASO DE DESAPROPRIAÇÃO DE PROPRIEDADES RURAIS";"1";"a";"1";"136";"PEC";"Proposta de Emenda à Constituição";"180";"PLEN      ";"PLENÁRIO";"18";"Especial";"5";"Proposição Sujeita à Apreciação do Plenário";"SERGIO MAGALHAES                                  ";"
      ";"
      ";"
      ";"
      ";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
NA;"1028939";"PEC 33/1962";"33";"1962";"21/3/1962 11:26:00";"dá nova redação ao § 16 do art. 141 da constituição federal, que dispõe sobre o direito de propriedade. ";"
    ";"1";"a";"1";"136";"PEC";"Proposta de Emenda à Constituição";"180";"PLEN      ";"PLENÁRIO";"18";"Especial";"5";"Proposição Sujeita à Apreciação do Plenário";"MAIA NETTO                                        ";"
      ";"
      ";"
      ";"
      ";"
      ";"
      ";"923";"Arquivada";"100293";"ARQUIVO   ";"0";"
        "
NA;"949331";"PEC 30/1962";"30";"1962";"22/2/1962 16:15:00";"dá nova redação ao parágrafo 16 do art. 141 da constituição federal.";"DESAPROPRIAÇÃO POR INTESSE SOCIAL.";"1";"a";"1";"136";"PEC";"Proposta de Emenda à Constituição";"180";"PLEN      ";"PLENÁRIO";"18";"Especial";"5";"Proposição Sujeita à Apreciação do Plenário";"SERGIO MAGALHAES                                  ";"
      ";"
      ";"
      ";"
      ";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
NA;"855126";"PEC 5/1963";"5";"1963";"4/6/1963 16:36:00";"altera a redação dos arts. 141, § 16 e 147 da constituição federal. (desapropriação)";"
    ";"1";"a";"1";"136";"PEC";"Proposta de Emenda à Constituição";"180";"PLEN      ";"PLENÁRIO";"18";"Especial";"5";"Proposição Sujeita à Apreciação do Plenário";"PLINIO SAMPAIO                                    ";"
      ";"
      ";"
      ";"
      ";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
NA;"786543";"PEC 3/1963";"3";"1963";"18/4/1963 10:54:00";"dá nova redação aos artigos 141. parágrafo 16 e 147 da constituição federal. (desapropriação).";"
    ";"1";"a";"1";"136";"PEC";"Proposta de Emenda à Constituição";"180";"PLEN      ";"PLENÁRIO";"18";"Especial";"5";"Proposição Sujeita à Apreciação do Plenário";"FERRO COSTA                                       ";"
      ";"
      ";"
      ";"
      ";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
NA;"744128";"PEC 1/1963";"1";"1963";"15/4/1963 11:25:00";"altera a forma de indenização nos casos de desapropriação por interesse social.";"
    ";"1";"a";"1";"136";"PEC";"Proposta de Emenda à Constituição";"180";"PLEN      ";"PLENÁRIO";"18";"Especial";"5";"Proposição Sujeita à Apreciação do Plenário";"BOCAYUVA CUNHA                                    ";"
      ";"
      ";"
      ";"
      ";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
NA;"176375";"PL 404/1950";"404";"1950";"12/6/1950";"altera os paragrafos terceiro, quarto e quinto do artigo 14, da lei 217, de 15 de janeiro de 1948 - (lei agraria do distrito federal).";"
    ";"1";"o";"1";"139";"PL";"Projeto de Lei";"180";"PLEN      ";"PLENÁRIO";"14";"Ordinária (Art. 151, III, RICD)";"5";"Proposição Sujeita à Apreciação do Plenário";"JOSE ROMERO";"
      ";"127";"PSD       ";"DF";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
NA;"197246";"PL 1881/1952";"1881";"1952";"30/4/1952";"regula as expropriações de propriedades particulares, nos termos do artigo 141, paragrafo 16, da constituição.";"
    ";"1";"o";"1";"139";"PL";"Projeto de Lei";"180";"PLEN      ";"PLENÁRIO";"14";"Ordinária (Art. 151, III, RICD)";"5";"Proposição Sujeita à Apreciação do Plenário";"AUGUSTO MEIRA";"
      ";"127";"PSD       ";"PA";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
NA;"212432";"PL 3406/1953";"3406";"1953";"28/7/1953";"define os casos de desapropriação por interesse social e dispõe sobre a sua efetivação.";"
    ";"1";"o";"1";"139";"PL";"Projeto de Lei";"180";"PLEN      ";"PLENÁRIO";"14";"Ordinária (Art. 151, III, RICD)";"5";"Proposição Sujeita à Apreciação do Plenário";"Poder Executivo";"
      ";"
      ";"
      ";"
      ";"
      ";"
      ";"1140";"Transformado em Norma Jurídica";"4";"MESA      ";"0";"
        "
NA;"221125";"PL 4389/1954";"4389";"1954";"14/5/1954";"institui a reforma agraria.";"
    ";"1";"o";"1";"139";"PL";"Projeto de Lei";"180";"PLEN      ";"PLENÁRIO";"14";"Ordinária (Art. 151, III, RICD)";"5";"Proposição Sujeita à Apreciação do Plenário";"COUTINHO CAVALCANTI";"
      ";"136";"PTB       ";"SP";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
NA;"178737";"PL 552/1955";"552";"1955";"18/8/1955";"estabelece plano preliminar da reforma agraria, dispondo sobre o regime de lavoura nas terras agricolas, a discriminação e destino dessas terras para fins de cultivo, criação e povoamento e regula as condições do trabalho em parceria e renda, e da outras providencias.";"
    ";"1";"o";"1";"139";"PL";"Projeto de Lei";"180";"PLEN      ";"PLENÁRIO";"14";"Ordinária (Art. 151, III, RICD)";"5";"Proposição Sujeita à Apreciação do Plenário";"NESTOR DUARTE";"
      ";"110";"PL        ";"BA";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
NA;"193925";"PL 1589/1956";"1589";"1956";"18/7/1956";"cria as companhias agrarias e cooperativas de produção e da outras providencias.";"
    ";"1";"o";"1";"139";"PL";"Projeto de Lei";"180";"PLEN      ";"PLENÁRIO";"14";"Ordinária (Art. 151, III, RICD)";"5";"Proposição Sujeita à Apreciação do Plenário";"ROGE FERREIRA";"
      ";"125";"PSB       ";"SP";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
NA;"173974";"PL 259/1959";"259";"1959";"11/5/1959";"cria o serviço nacional de reforma agraria, e da outras providencias.";"
    ";"1";"o";"1";"139";"PL";"Projeto de Lei";"180";"PLEN      ";"PLENÁRIO";"14";"Ordinária (Art. 151, III, RICD)";"5";"Proposição Sujeita à Apreciação do Plenário";"PASSOS PORTO";"
      ";"189";"UDN       ";"SE";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
NA;"172922";"PL 193/1959";"193";"1959";"24/4/1959";"institui os fundamentos economicos de reforma agraria.";"
    ";"1";"o";"1";"139";"PL";"Projeto de Lei";"180";"PLEN      ";"PLENÁRIO";"14";"Ordinária (Art. 151, III, RICD)";"5";"Proposição Sujeita à Apreciação do Plenário";"DIRNO PIRES";"
      ";"127";"PSD       ";"PI";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
NA;"170078";"PL 11/1959";"11";"1959";"19/3/1959";"define os casos de desapropriação por interesse social e dispõe sobre sua aplicação.";"
    ";"1";"o";"1";"139";"PL";"Projeto de Lei";"180";"PLEN      ";"PLENÁRIO";"14";"Ordinária (Art. 151, III, RICD)";"5";"Proposição Sujeita à Apreciação do Plenário";"JOSUE DE CASTRO";"
      ";"136";"PTB       ";"PE";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
NA;"212066";"PL 3366/1961";"3366";"1961";"21/9/1961";"suspende ações de despejo ou evacuações possessorias em todo o territorio nacional, ate a sanção da lei de reforma agraria.";"
    ";"1";"o";"1";"139";"PL";"Projeto de Lei";"180";"PLEN      ";"PLENÁRIO";"14";"Ordinária (Art. 151, III, RICD)";"5";"Proposição Sujeita à Apreciação do Plenário";"PEREIRA NUNES";"
      ";"185";"PSP       ";"RJ";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
NA;"210329";"PL 3176/1961";"3176";"1961";"11/7/1961";"dispõe sobre a reforma agraria, a constituição do fundo agrario nacional, a criação do usufruto agrario para exploração agricola em comum colonias agricolas e fazenda nacional de trabalho coletivo, organização da vida rural em geral, e da outras providencias.";"
    ";"1";"o";"1";"139";"PL";"Projeto de Lei";"180";"PLEN      ";"PLENÁRIO";"14";"Ordinária (Art. 151, III, RICD)";"5";"Proposição Sujeita à Apreciação do Plenário";"PADRE NOBRE";"
      ";"136";"PTB       ";"MG";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
NA;"219794";"PL 4225/1962";"4225";"1962";"18/5/1962";"regula a desapropriação por interesse social, determina a reavaliação do ativo das sociedades de economia mista, cria o fundo agrario nacional e da outras providencias.";"
    ";"1";"o";"1";"139";"PL";"Projeto de Lei";"180";"PLEN      ";"PLENÁRIO";"14";"Ordinária (Art. 151, III, RICD)";"5";"Proposição Sujeita à Apreciação do Plenário";"OSWALDO LIMA FILHO";"
      ";"136";"PTB       ";"PE";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
NA;"216731";"PL 3875/1962";"3875";"1962";"21/2/1962";"cria o fundo nacional de reforma agraria e colonização, estabelece um plano de emergencia, e da outras providencias.";"
    ";"1";"o";"1";"139";"PL";"Projeto de Lei";"180";"PLEN      ";"PLENÁRIO";"14";"Ordinária (Art. 151, III, RICD)";"5";"Proposição Sujeita à Apreciação do Plenário";"LEITE NETO";"
      ";"127";"PSD       ";"SE";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
NA;"216489";"PL 3848/1962";"3848";"1962";"20/2/1962";"define os casos de desapropriação por interesse social e configura formas de abuso do poder economico.";"
    ";"1";"o";"1";"139";"PL";"Projeto de Lei";"180";"PLEN      ";"PLENÁRIO";"14";"Ordinária (Art. 151, III, RICD)";"5";"Proposição Sujeita à Apreciação do Plenário";"MAIA NETTO";"
      ";"136";"PTB       ";"PR";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
NA;"185976";"PL 1015/1963";"1015";"1963";"18/9/1963";"dispõe sobre o financiamento de planos de reforma agraria.";"
    ";"1";"o";"1";"139";"PL";"Projeto de Lei";"180";"PLEN      ";"PLENÁRIO";"14";"Ordinária (Art. 151, III, RICD)";"5";"Proposição Sujeita à Apreciação do Plenário";"ANISIO ROCHA";"
      ";"127";"PSD       ";"GO";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
NA;"182193";"PL 773/1963";"773";"1963";"5/8/1963";"dispõe sobre a modificação da estrutura agraria no pais.";"
    ";"1";"o";"1";"139";"PL";"Projeto de Lei";"180";"PLEN      ";"PLENÁRIO";"14";"Ordinária (Art. 151, III, RICD)";"5";"Proposição Sujeita à Apreciação do Plenário";"ORLANDO BERTOLI";"
      ";"127";"PSD       ";"SC";"
      ";"
      ";"923";"Arquivada";"4";"MESA      ";"0";"
        "
